,threshold-competitive,impact-long-queues,initial-corona-number,service-timeSA,policy-implemented,time-slot?,percentage-competitive,cum-infected,average-timequeue,min-timequeue,max-timequeue,cum-infected-10080,cum-infected-18720
66,30,3,2,3,policy 0 (baseline),False,10,296,277.7670455,2,873,8,37
67,30,3,2,3,policy 0 (baseline),False,10,239,265.625,2,815,6,34
68,30,3,2,3,policy 0 (baseline),False,10,547,271.1761364,2,893,8,75
69,30,3,2,3,policy 0 (baseline),False,10,367,360.5454545,2,930,7,55
70,30,3,2,4,policy 0 (baseline),False,10,303,419.3579545,3,971,12,41
71,30,3,2,4,policy 0 (baseline),False,10,407,412.4488636,3,958,8,52
72,30,3,2,4,policy 0 (baseline),False,10,277,655.9261364,3,1598,7,35
73,30,3,2,4,policy 0 (baseline),False,10,177,379.8181818,3,928,8,21
74,30,3,2,4,policy 0 (baseline),False,10,356,472.2102273,3,1069,6,51
75,30,3,2,4,policy 0 (baseline),False,10,743,686.8977273,3,1608,8,146
76,30,3,2,4,policy 0 (baseline),False,10,483,589.8693182,3,1188,6,50
77,30,3,2,4,policy 0 (baseline),False,10,350,459.0056818,3,1044,8,48
78,30,3,2,4,policy 0 (baseline),False,10,381,585.8920455,3,1133,6,56
79,30,3,2,4,policy 0 (baseline),False,10,315,494.6477273,3,1005,8,46
80,30,3,2,5,policy 0 (baseline),False,10,294,599.4602273,4,1166,6,34
81,30,3,2,5,policy 0 (baseline),False,10,549,793.4034091,4,1730,6,76
82,30,3,2,5,policy 0 (baseline),False,10,226,648.4829545,4,1216,7,37
83,30,3,2,5,policy 0 (baseline),False,10,580,634.0340909,4,1263,6,74
84,30,3,2,5,policy 0 (baseline),False,10,226,642.4431818,4,1195,8,30
85,30,3,2,5,policy 0 (baseline),False,10,364,748.6988636,4,1582,7,49
86,30,3,2,5,policy 0 (baseline),False,10,356,567.3068182,4,1114,9,42
87,30,3,2,5,policy 0 (baseline),False,10,581,608.7556818,4,1176,13,88
88,30,3,2,5,policy 0 (baseline),False,10,643,899.3181818,4,1956,9,111
89,30,3,2,5,policy 0 (baseline),False,10,528,613.125,4,1284,8,92
90,30,3,2,6,policy 0 (baseline),False,10,153,695.2386364,5,1295,8,34
91,30,3,2,6,policy 0 (baseline),False,10,504,982.3409091,5,2315,9,74
92,30,3,2,6,policy 0 (baseline),False,10,188,753.6022727,5,1362,6,31
93,30,3,2,6,policy 0 (baseline),False,10,698,1014.693182,5,2260,5,137
94,30,3,2,6,policy 0 (baseline),False,10,569,854.0397727,5,1488,8,84
95,30,3,2,6,policy 0 (baseline),False,10,391,721.6420455,5,1326,5,59
96,30,3,2,6,policy 0 (baseline),False,10,684,767.2386364,5,1408,8,105
97,30,3,2,6,policy 0 (baseline),False,10,358,658.7556818,5,1285,7,58
98,30,3,2,6,policy 0 (baseline),False,10,452,891.3295455,5,1503,15,69
99,30,3,2,6,policy 0 (baseline),False,10,589,770.5340909,5,1372,9,87
100,30,3,3,2,policy 0 (baseline),False,10,464,95.26704545,1,286,11,71
101,30,3,3,2,policy 0 (baseline),False,10,569,152.0852273,1,369,12,77
102,30,3,3,2,policy 0 (baseline),False,10,285,70.88068182,1,215,12,30
103,30,3,3,2,policy 0 (baseline),False,10,455,104.0170455,1,294,11,55
104,30,3,3,2,policy 0 (baseline),False,10,290,72.07386364,1,214,9,32
105,30,3,3,2,policy 0 (baseline),False,10,464,72.89772727,1,251,13,73
106,30,3,3,2,policy 0 (baseline),False,10,495,126.8238636,1,323,14,75
107,30,3,3,2,policy 0 (baseline),False,10,428,88.58522727,1,238,9,52
108,30,3,3,2,policy 0 (baseline),False,10,578,141.9715909,1,389,10,103
109,30,3,3,2,policy 0 (baseline),False,10,498,48.92613636,1,160,13,70
110,30,3,3,3,policy 0 (baseline),False,10,560,322.2670455,2,903,10,74
111,30,3,3,3,policy 0 (baseline),False,10,672,457.8011364,2,983,13,116
112,30,3,3,3,policy 0 (baseline),False,10,311,372.2670455,2,906,12,37
113,30,3,3,3,policy 0 (baseline),False,10,346,37.24418605,2,207,11,56
114,30,3,3,3,policy 0 (baseline),False,10,589,326.3522727,2,914,13,95
115,30,3,3,3,policy 0 (baseline),False,10,173,232.875,2,784,9,20
